Index;Obj.Type;Object Id;Obj.Name;Value;Description;Datum;Uhrzeit
AI-2611;AnalogInput;2611;ZoneModule 17 Remote Setpoint Offset Actual Value ;-0,05;;06.12.2022;14:25:29
AI-2612;AnalogInput;2612;ZoneModule 17 CO2/VOC  Actual Value ;530;;06.12.2022;14:25:29
AI-2613;AnalogInput;2613;ZoneModule 17 RH Actual Value ;5;;06.12.2022;14:25:29
AI-2614;AnalogInput;2614;ZoneModule 17 Room Temperature Actual Setpoint ;20,95;;06.12.2022;14:25:29
AI-2615;AnalogInput;2615;ZoneModule 17 Room Panel Air Mode ;0;;06.12.2022;14:25:29
AI-2616;AnalogInput;2616;ZoneModule 17 Heating Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2617;AnalogInput;2617;ZoneModule 17 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2618;AnalogInput;2618;ZoneModule 17 VAV Supply 1 Actual Damper pos. % ;100;;06.12.2022;14:25:29
AI-2619;AnalogInput;2619;ZoneModule 17 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2620;AnalogInput;2620;ZoneModule 17 VAV Extract Actual Damper pos. % ;81,79;;06.12.2022;14:25:29
AI-2700;AnalogInput;2700;ZoneModule 18 Status ;1;;06.12.2022;14:25:29
AI-2701;AnalogInput;2701;ZoneModule 18 VAV Supply 1 Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2702;AnalogInput;2702;ZoneModule 18 VAV Supply 1 Actual Flow ;144;;06.12.2022;14:25:29
AI-2703;AnalogInput;2703;ZoneModule 18 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2704;AnalogInput;2704;ZoneModule 18 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2705;AnalogInput;2705;ZoneModule 18 VAV Extract Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2706;AnalogInput;2706;ZoneModule 18 VAV Extract Actual Flow ;176;;06.12.2022;14:25:29
AI-2707;AnalogInput;2707;ZoneModule 18 Heating Valve Setpoint % ;14,92;;06.12.2022;14:25:29
AI-2708;AnalogInput;2708;ZoneModule 18 Cooling Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2709;AnalogInput;2709;ZoneModule 18 Room Temperature Actual Value ;20,17;;06.12.2022;14:25:29
AI-2710;AnalogInput;2710;ZoneModule 18 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2711;AnalogInput;2711;ZoneModule 18 Remote Setpoint Offset Actual Value ;-0,04;;06.12.2022;14:25:29
AI-2712;AnalogInput;2712;ZoneModule 18 CO2/VOC  Actual Value ;471;;06.12.2022;14:25:29
AI-2713;AnalogInput;2713;ZoneModule 18 RH Actual Value ;5;;06.12.2022;14:25:29
